_id,percorso,num,id_ferm
557,100160,7,979
558,100080,2,980
559,100042,16,968
560,100048,4,919
561,100077,5,895
562,100023,9,967
563,100160,13,952
564,100164,1,881
565,100158,14,897
566,100033,4,893
567,100052,2,994
568,100064,10,913
569,100081,10,899
570,100059,16,911
571,100042,3,951
572,100073,15,946
573,100073,20,953
574,100034,26,896
575,100047,4,919
576,100073,16,926
577,100082,6,942
578,100043,3,951
579,100030,5,989
580,100043,14,981
581,100065,11,958
582,100002,4,993
583,100045,2,958
584,100050,17,946
585,100065,4,931
586,100023,12,929
587,100046,12,975
588,100163,19,876
589,100048,6,910
590,100074,30,994
591,100077,7,979
592,100033,14,909
593,100052,5,919
594,100067,20,919
595,100043,17,930
596,100013,23,898
597,100084,6,936
598,100164,2,871
599,100035,5,921
600,100074,29,958
601,100043,22,945
602,100074,28,913
603,100089,10,932
604,100081,13,935
605,100060,11,956
606,100043,28,915
607,100030,15,981
608,100030,4,901
609,100023,8,981
610,100073,13,973
611,100053,1,995
612,100033,9,928
613,100067,22,958
614,100077,17,975
615,100161,1,946
616,100160,10,977
617,100059,5,946
618,100050,20,965
619,100013,27,903
620,100164,8,873
621,100052,11,956
622,100084,1,991
623,100163,21,881
624,100065,1,975
625,100073,5,986
626,100053,21,978
627,100030,23,928
628,100052,22,970
629,100052,23,972
630,100045,18,973
631,100080,1,952
632,100053,26,977
633,100048,22,979
634,100050,4,913
635,100034,3,903
636,100050,2,994
637,100073,6,977
638,100065,2,953
639,100066,16,944
640,100077,23,910
641,100084,17,905
642,100045,11,953
643,100002,1,990
644,100035,30,927
645,100077,10,965
646,100059,14,984
647,100066,1,971
648,100051,1,995
649,100042,6,928
650,100043,23,896
651,100163,1,888
652,100033,2,902
653,100045,3,913
654,100067,17,984
655,100066,3,970
656,100059,7,940
657,100095,28,994
658,100034,24,917
659,100038,3,904
660,100045,17,897
661,100059,6,926
662,100163,5,884
663,100043,27,927
664,100013,9,987
665,100042,21,993
666,100047,15,926
667,100073,14,897
668,100013,18,918
669,100051,13,975
670,100042,7,941
671,100077,3,986
672,100030,22,941
673,100046,3,913
674,100048,1,999
675,100051,9,944
676,100053,14,982
677,100059,10,953
678,100082,20,997
679,100089,3,905
680,100066,10,940
681,100095,14,926
682,100052,10,931
683,100035,15,960
684,100048,9,931
685,100013,29,904
686,100030,28,893
687,100089,2,907
688,100058,1,980
689,100046,11,953
690,100051,6,911
691,100059,13,944
692,100082,8,964
693,100002,25,903
694,100033,21,891
695,100059,9,975
696,100034,14,909
697,100042,24,990
698,100060,2,965
699,100047,8,944
700,100050,12,953
701,100095,15,940
702,100065,12,994
703,100002,18,941
704,100077,12,897
705,100163,16,869
706,100047,14,940
707,100002,27,904
708,100077,6,974
709,100034,9,928
710,100002,2,949
711,100047,7,984
712,100047,23,971
713,100035,16,967
714,100060,20,994
715,100084,9,956
716,100030,12,930
717,100089,19,991
718,100013,20,941
719,100023,15,941
720,100065,13,995
721,100066,6,973
722,100073,27,919
723,100002,23,921
724,100047,5,911
725,100066,14,956
726,100074,11,978
727,100048,29,980
728,100042,15,985
729,100053,6,911
730,100077,11,973
731,100074,3,952
732,100035,19,968
733,100081,3,998
734,100160,1,946
735,100160,2,897
736,100042,12,960
737,100070,3,995
738,100089,14,936
739,100095,26,913
740,100053,13,975
741,100035,22,996
742,100048,23,974
743,100053,15,940
744,100002,5,957
745,100035,29,934
746,100053,9,944
747,100163,6,883
748,100047,10,956
749,100160,15,954
750,100082,7,924
751,100045,12,975
752,100073,12,965
753,100067,2,972
754,100048,19,965
755,100033,3,903
756,100035,20,930
757,100002,16,918
758,100013,24,951
759,100052,24,971
760,100023,23,902
761,100081,4,962
762,100065,6,984
763,100158,3,952
764,100023,7,985
765,100077,18,953
766,100077,25,919
767,100163,12,874
768,100043,5,912
769,100050,18,897
770,100002,13,960
771,100073,26,911
772,100089,13,890
773,100074,18,982
774,100033,22,963
775,100034,2,902
776,100046,2,958
777,100084,10,932
778,100102,2,972
779,100095,1,952
780,100158,11,978
781,100050,7,910
782,100065,8,911
783,100089,1,906
784,100082,15,900
785,100034,7,898
786,100161,2,926
787,100081,21,908
788,100030,30,902
789,100033,11,943
790,100030,14,985
791,100042,5,912
792,100060,3,973
793,100002,11,981
794,100013,11,968
795,100002,15,929
796,100159,7,972
797,100163,20,871
798,100060,15,910
799,100050,10,931
800,100035,23,939
801,100013,13,981
802,100064,7,910
803,100158,2,980
804,100042,19,963
805,100074,17,940
806,100074,2,980
807,100089,9,976
808,100159,6,970
809,100048,12,975
810,100046,6,910
811,100060,18,913
812,100033,27,990
813,100045,19,965
814,100051,3,958
815,100073,19,975
816,100034,10,941
817,100035,6,951
818,100033,8,912
819,100043,12,960
820,100074,22,931
821,100035,17,981
822,100043,15,985
823,100163,13,877
824,100066,18,910
825,100077,20,931
826,100082,2,914
827,100164,6,869
828,100052,12,953
829,100053,8,984
830,100084,7,890
831,100066,7,897
832,100066,21,913
833,100059,12,931
834,100013,17,929
835,100158,8,974
836,100164,16,883
837,100059,1,978
838,100045,1,999
